scenario,run,epoch,total_reward,alpha,beta,r_search,r_wait
0,0,1,1050.0,0.7,0.5,4,1
0,0,2,3017.0,0.7,0.5,4,1
0,0,3,3048.0,0.7,0.5,4,1
0,0,4,2912.0,0.7,0.5,4,1
0,0,5,3050.0,0.7,0.5,4,1
0,0,6,3024.0,0.7,0.5,4,1
0,0,7,3046.0,0.7,0.5,4,1
0,0,8,3025.0,0.7,0.5,4,1
0,0,9,3035.0,0.7,0.5,4,1
0,0,10,3023.0,0.7,0.5,4,1
0,1,1,1059.0,0.7,0.5,4,1
0,1,2,3031.0,0.7,0.5,4,1
0,1,3,3015.0,0.7,0.5,4,1
0,1,4,3033.0,0.7,0.5,4,1
0,1,5,3009.0,0.7,0.5,4,1
0,1,6,3077.0,0.7,0.5,4,1
0,1,7,3063.0,0.7,0.5,4,1
0,1,8,3131.0,0.7,0.5,4,1
0,1,9,3091.0,0.7,0.5,4,1
0,1,10,3024.0,0.7,0.5,4,1
0,2,1,1058.0,0.7,0.5,4,1
0,2,2,1085.0,0.7,0.5,4,1
0,2,3,3061.0,0.7,0.5,4,1
0,2,4,3006.0,0.7,0.5,4,1
0,2,5,3025.0,0.7,0.5,4,1
0,2,6,2945.0,0.7,0.5,4,1
0,2,7,3029.0,0.7,0.5,4,1
0,2,8,3049.0,0.7,0.5,4,1
0,2,9,2995.0,0.7,0.5,4,1
0,2,10,3081.0,0.7,0.5,4,1
1,0,1,1064.0,0.7,0.6,4,1
1,0,2,3079.0,0.7,0.6,4,1
1,0,3,3072.0,0.7,0.6,4,1
1,0,4,2986.0,0.7,0.6,4,1
1,0,5,3068.0,0.7,0.6,4,1
1,0,6,3010.0,0.7,0.6,4,1
1,0,7,3049.0,0.7,0.6,4,1
1,0,8,2974.0,0.7,0.6,4,1
1,0,9,2931.0,0.7,0.6,4,1
1,0,10,2996.0,0.7,0.6,4,1
1,1,1,1059.0,0.7,0.6,4,1
1,1,2,2999.0,0.7,0.6,4,1
1,1,3,3081.0,0.7,0.6,4,1
1,1,4,3066.0,0.7,0.6,4,1
1,1,5,3059.0,0.7,0.6,4,1
1,1,6,3052.0,0.7,0.6,4,1
1,1,7,3007.0,0.7,0.6,4,1
1,1,8,2997.0,0.7,0.6,4,1
1,1,9,3091.0,0.7,0.6,4,1
1,1,10,3030.0,0.7,0.6,4,1
1,2,1,1065.0,0.7,0.6,4,1
1,2,2,3057.0,0.7,0.6,4,1
1,2,3,3016.0,0.7,0.6,4,1
1,2,4,2974.0,0.7,0.6,4,1
1,2,5,3068.0,0.7,0.6,4,1
1,2,6,3148.0,0.7,0.6,4,1
1,2,7,3032.0,0.7,0.6,4,1
1,2,8,3080.0,0.7,0.6,4,1
1,2,9,3054.0,0.7,0.6,4,1
1,2,10,3073.0,0.7,0.6,4,1
2,0,1,1065.0,0.7,0.7,4,1
2,0,2,3096.0,0.7,0.7,4,1
2,0,3,2955.0,0.7,0.7,4,1
2,0,4,2973.0,0.7,0.7,4,1
2,0,5,2995.0,0.7,0.7,4,1
2,0,6,2985.0,0.7,0.7,4,1
2,0,7,3074.0,0.7,0.7,4,1
2,0,8,2976.0,0.7,0.7,4,1
2,0,9,2937.0,0.7,0.7,4,1
2,0,10,2925.0,0.7,0.7,4,1
2,1,1,1067.0,0.7,0.7,4,1
2,1,2,3005.0,0.7,0.7,4,1
2,1,3,2901.0,0.7,0.7,4,1
2,1,4,2895.0,0.7,0.7,4,1
2,1,5,3018.0,0.7,0.7,4,1
2,1,6,3016.0,0.7,0.7,4,1
2,1,7,3029.0,0.7,0.7,4,1
2,1,8,2911.0,0.7,0.7,4,1
2,1,9,2955.0,0.7,0.7,4,1
2,1,10,3070.0,0.7,0.7,4,1
2,2,1,1067.0,0.7,0.7,4,1
2,2,2,3054.0,0.7,0.7,4,1
2,2,3,3004.0,0.7,0.7,4,1
2,2,4,2999.0,0.7,0.7,4,1
2,2,5,3056.0,0.7,0.7,4,1
2,2,6,3031.0,0.7,0.7,4,1
2,2,7,2994.0,0.7,0.7,4,1
2,2,8,3059.0,0.7,0.7,4,1
2,2,9,3028.0,0.7,0.7,4,1
2,2,10,2998.0,0.7,0.7,4,1
3,0,1,1049.0,0.8,0.5,4,1
3,0,2,3291.0,0.8,0.5,4,1
3,0,3,3240.0,0.8,0.5,4,1
3,0,4,3303.0,0.8,0.5,4,1
3,0,5,3306.0,0.8,0.5,4,1
3,0,6,3248.0,0.8,0.5,4,1
3,0,7,3311.0,0.8,0.5,4,1
3,0,8,3206.0,0.8,0.5,4,1
3,0,9,3281.0,0.8,0.5,4,1
3,0,10,3315.0,0.8,0.5,4,1
3,1,1,1055.0,0.8,0.5,4,1
3,1,2,3306.0,0.8,0.5,4,1
3,1,3,3277.0,0.8,0.5,4,1
3,1,4,3271.0,0.8,0.5,4,1
3,1,5,3276.0,0.8,0.5,4,1
3,1,6,3261.0,0.8,0.5,4,1
3,1,7,3262.0,0.8,0.5,4,1
3,1,8,3257.0,0.8,0.5,4,1
