scenario,alpha,beta,r_search,r_wait,avg_reward_per_step,final_policy_H,final_policy_L
0,0.7,0.5,4,1,3.076923076923077,search,recharge
1,0.7,0.6,4,1,3.076923076923077,search,recharge
2,0.7,0.7,4,1,3.076923076923077,search,recharge
3,0.8,0.5,4,1,3.3333333333333344,search,recharge
4,0.8,0.6,4,1,3.3333333333333344,search,recharge
5,0.8,0.7,4,1,3.3333333333333344,search,recharge
6,0.9,0.5,4,1,3.636363636363638,search,recharge
7,0.9,0.6,4,1,3.636363636363638,search,recharge
8,0.9,0.7,4,1,3.636363636363638,search,recharge
9,0.7,0.5,4,2,3.076923076923077,search,recharge
10,0.7,0.6,4,2,3.076923076923077,search,recharge
11,0.7,0.7,4,2,3.076923076923077,search,recharge
12,0.8,0.5,4,2,3.3333333333333344,search,recharge
13,0.8,0.6,4,2,3.3333333333333344,search,recharge
14,0.8,0.7,4,2,3.3333333333333344,search,recharge
15,0.9,0.5,4,2,3.636363636363638,search,recharge
16,0.9,0.6,4,2,3.636363636363638,search,recharge
17,0.9,0.7,4,2,3.636363636363638,search,recharge
18,0.7,0.5,4,3,2.999999999999999,search,wait
19,0.7,0.6,4,3,2.999999999999999,search,wait
20,0.7,0.7,4,3,3.076923076923077,search,recharge
21,0.8,0.5,4,3,3.3333333333333344,search,recharge
22,0.8,0.6,4,3,3.3333333333333344,search,recharge
23,0.8,0.7,4,3,3.3333333333333344,search,recharge
24,0.9,0.5,4,3,3.636363636363638,search,recharge
25,0.9,0.6,4,3,3.636363636363638,search,recharge
26,0.9,0.7,4,3,3.636363636363638,search,recharge
27,0.7,0.5,5,1,3.8461538461538463,search,recharge
28,0.7,0.6,5,1,3.8461538461538463,search,recharge
29,0.7,0.7,5,1,3.8461538461538463,search,recharge
30,0.8,0.5,5,1,4.166666666666668,search,recharge
31,0.8,0.6,5,1,4.166666666666668,search,recharge
32,0.8,0.7,5,1,4.166666666666668,search,recharge
33,0.9,0.5,5,1,4.545454545454548,search,recharge
34,0.9,0.6,5,1,4.545454545454548,search,recharge
35,0.9,0.7,5,1,4.545454545454548,search,recharge
36,0.7,0.5,5,2,3.8461538461538463,search,recharge
37,0.7,0.6,5,2,3.8461538461538463,search,recharge
38,0.7,0.7,5,2,3.8461538461538463,search,recharge
39,0.8,0.5,5,2,4.166666666666668,search,recharge
40,0.8,0.6,5,2,4.166666666666668,search,recharge
41,0.8,0.7,5,2,4.166666666666668,search,recharge
42,0.9,0.5,5,2,4.545454545454548,search,recharge
43,0.9,0.6,5,2,4.545454545454548,search,recharge
44,0.9,0.7,5,2,4.545454545454548,search,recharge
45,0.7,0.5,5,3,3.8461538461538463,search,recharge
46,0.7,0.6,5,3,3.8461538461538463,search,recharge
47,0.7,0.7,5,3,3.799999999999999,search,search
48,0.8,0.5,5,3,4.166666666666668,search,recharge
49,0.8,0.6,5,3,4.166666666666668,search,recharge
50,0.8,0.7,5,3,4.166666666666668,search,recharge
51,0.9,0.5,5,3,4.545454545454548,search,recharge
52,0.9,0.6,5,3,4.545454545454548,search,recharge
53,0.9,0.7,5,3,4.545454545454548,search,recharge
54,0.7,0.5,6,1,4.615384615384616,search,recharge
55,0.7,0.6,6,1,4.615384615384616,search,recharge
56,0.7,0.7,6,1,4.649999999999999,search,search
57,0.8,0.5,6,1,5.000000000000002,search,recharge
58,0.8,0.6,6,1,5.000000000000002,search,recharge
59,0.8,0.7,6,1,5.000000000000002,search,recharge
60,0.9,0.5,6,1,5.454545454545457,search,recharge
61,0.9,0.6,6,1,5.454545454545457,search,recharge
62,0.9,0.7,6,1,5.454545454545457,search,recharge
63,0.7,0.5,6,2,4.615384615384616,search,recharge
64,0.7,0.6,6,2,4.615384615384616,search,recharge
65,0.7,0.7,6,2,4.615384615384616,search,recharge
66,0.8,0.5,6,2,5.000000000000002,search,recharge
67,0.8,0.6,6,2,5.000000000000002,search,recharge
68,0.8,0.7,6,2,5.000000000000002,search,recharge
69,0.9,0.5,6,2,5.454545454545457,search,recharge
70,0.9,0.6,6,2,5.454545454545457,search,recharge
71,0.9,0.7,6,2,5.454545454545457,search,recharge
72,0.7,0.5,6,3,4.615384615384616,search,recharge
73,0.7,0.6,6,3,4.615384615384616,search,recharge
74,0.7,0.7,6,3,4.649999999999999,search,search
75,0.8,0.5,6,3,5.000000000000002,search,recharge
76,0.8,0.6,6,3,5.000000000000002,search,recharge
77,0.8,0.7,6,3,4.92,search,search
78,0.9,0.5,6,3,5.454545454545457,search,recharge
79,0.9,0.6,6,3,5.454545454545457,search,recharge
80,0.9,0.7,6,3,5.454545454545457,search,recharge
